type,answer,passage,question,tf
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法である。",0
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法は何ですか?",1
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法は何か",1
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法は何ですか",1
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法は何であるか",1
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法は何か",0
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法をデジタルという。",0
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定の間隔ごとに区切り,数値を用いて表す方法である。",0
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法とは何か",1
word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,"連続する量を一定間隔ごとに区切り,数値を用いて表す方法はデジタルである。",0
tf,正しくない,コンピュータは，直接アナログデータを扱うことができず，デジタルデータをデータとして扱っている。コンピュータの内部におけるデータは，複数の素子の電圧などの段階の組み合わせとして表されることが多い。現在は，これを二段階で表現する場合が多く，0と１で表される２進法を対応させて扱っている。,"コンピュータは,直接アナログデータを扱うことは可能か",0
tf,正しくない,コンピュータは，直接アナログデータを扱うことができず，デジタルデータをデータとして扱っている。コンピュータの内部におけるデータは，複数の素子の電圧などの段階の組み合わせとして表されることが多い。現在は，これを二段階で表現する場合が多く，0と１で表される２進法を対応させて扱っている。,"コンピュータは,直接アナログデータを扱うことは可能か?",0
tf,正しくない,コンピュータは，直接アナログデータを扱うことができず，デジタルデータをデータとして扱っている。コンピュータの内部におけるデータは，複数の素子の電圧などの段階の組み合わせとして表されることが多い。現在は，これを二段階で表現する場合が多く，0と１で表される２進法を対応させて扱っている。,"コンピュータは,直接アナログデータを扱うことが許されている。次の文章は正しいか答えなさい。",0
